volume_name,volume_id,issue_id,cover_date
The Incredible Hulk;2406;152728;1998-08-22
Spider-Man Mysteries;64126;413273;1998-08-01
Marvel Collectible Classics: X-Men;38724;259703;1998-08-01
Marvel Adventures;31326;227425;1998-08-01
Spider-Man;4421;64663;1998-08-01
The Amazing Spider-Man;2127;64473;1998-08-01
Spider-Man Unlimited;5048;57305;1998-08-01
What If...?;4249;45217;1998-08-01
Spider-Man;4421;45204;1998-08-01
The Spectacular Spider-Man;2870;45203;1998-08-01
The Sensational Spider-Man;5788;45202;1998-08-01
Fantastic Four;6211;45176;1998-07-28
Avengers Rough Cut;39506;266892;1998-07-01
